Id,Age,Review_Title,Review,Pos_Feedback_Cnt,Division,Department,Product_Category
21403,53,Magnificent clothe!,"In contrast to the other reviewer, i love this clothe. worth the sale price at least.",4,General,Clothes,Clothes
22553,51,Shapeless tent,I tried this on in the store and it was huge. i couldn't try on a smaller size because they only had a 2 and 4. i tried on my usual size 12. i don't think the embroidery is as pretty in person either. definitely not worth the price.,2,General,Clothes,Clothes
17436,59,Versatile and then some,"I thought this was a fun piece to have, but didn't realize how versatile it was until i got home and started mixing it with either casual shoes, or clotheing it up with fancier accessories.
i love this jumpsuit!
it is well made, and the fabric is of a quality that lends itself to both casual and clothey",1,General,Bottoms,Trousers
4293,48,So simple but so cute!,"I bought the multi-color stripe and it is adorable! i am 5'9"", 135 lbs and purchased a size small. it is a excellent length and drapes well...not too tight at all. i received a ton of compliments the first time i wore it. highly recommend!",1,General,Clothes,Clothes
20149,46,Magnificent simple tank,"The wide strap style is very flattering. this tank is fitted in my normal size small, it fits like the model in the cobalt blue color. i'm 5'7"" 120lbs. if you want more room, i'd size up. it is low cut, but not inappropriately so. fits like the picture shows.",0,Initmates,Intimate,Layering
22513,63,Love these jeans!,"I normally wear a size 27, but i have a pair of shorts by same designer bought several years ago in a size 26 and so i went with a size 26 for this purchase. they fit excellently. i would have liked to order the petite, but it did not appear to be an option. the fabric is very soft and stretchy. they are little loose around the ankle, but i have very skinny calves and ankles, so that is not so surprising. the color is a excellent grey that will go with everything. i would buy these in other colors.",2,General,Bottoms,Jeans
10583,64,Can't wait for warmer weather,"This is the second of the new clothe batch i have purchased and it is lovely. this catalog shot does not do it justice.

the colors are brighter, but not neon, lots of indigo and coral. there is a tad of yellow? the bodice makes my aa size look much ""more."" the bodice fits me excellently as the top pleating is flat. the v neck is just right - not too low, and the back is even prettier.

the clothe just fell gracefully out of the package without a wrinkle and without a mussed pleat! that was a sh",65,General,Clothes,Clothes
1732,35,Does not fit as expected,"Note to photographers: please don't cinch the wait of a blouse to make something look tailored when it isn't. this could have been a real win if it had been more simply executed. i'm petite, way too much fabric. returned.",3,General,Tops,Blouses
19131,57,Gorgeous and timeless trench!,"First of all, i'm not a ""navy"" person at all. i much prefer black or other bright colors. i received an e'mail showing this trench last saturday and i pulled it up online and noticed how darling it looked. i didn't order it, but i went back the following day to check it out again. it was nowhere on the website. then a few days ago, back it popped up online again. i noticed it wasn't in my local store so i thought i'd go in and look this weekend. i just had to see it. i actually made it to the st",14,General,Coats,Outerwear
14134,40,,"So pretty. 5'4"" 115 lbs and the xs fits excellently.",2,General,Bottoms,Shorts
1133,36,Not what i thought,"These leggings were way longer and darker then appeared on model. 
they also were see through or beige color when stretched across hip.
especially for the high cost, there are much better althleisure leggings on the market.",1,Initmates,Intimate,Lounge
8946,58,Inconsistent,"I'm not sure what it is with ag. i own at least a dozen pairs of their jeans, in blue, black and white denim. i wish i could say they're all magnificent, but unfortunately there's a big variation in how they wash, depending on the fabric content. i just purchased these because i love the lighter wash for spring, but after washing them once i can see they won't be a preferred pair. even with cold water and hanging them to dry, the fabric bunches weirdly and the shape of the leg changes. at this price po",5,General,Bottoms,Jeans
4416,34,,This clothe is magnificent! i purchased the navy colorway. it is really soft and the fabric flows nicely. i was lucky enough to snag this on sale so i couldn't beat the price. i like the buttons on the sleeves. it adds just a cute special touch. i'm 5'3 and this hits me right at the knee.,0,General Petite,Clothes,Clothes
9002,51,Beautiful color,"I'm 5'4, 112 pounds. xs petite was a good fit with room for a heavier top. fabric is somewhat picky, so long sleeve is necessary. overall, coat is beautiful and worth the money. nice, unique fall piece.",1,General,Coats,Outerwear
8500,48,Nothing special,"The sweater was nice but not as long as on the model. it was itchy also. this sweater was not what i had expected. their was nothing exceptional about it to spend that kind of hard earned cash, sorry retailer. i sent it back .",4,General,Tops,Fine gauge
14575,32,"Excellent fit, cute for summer","I'm a big fan of maeve products. still, even when i like something, i always prefer to try on in the store just to be certain. i decided to risk it this time and was so happy when this top came and it fit excellently. i'm 5'3, 150 lbs but carry more weight on bottom so i ordered the 8. it's just right--cute and flowy. i'll probably get another one in a different color!",5,General,Tops,Blouses
17161,45,Magnificent clothe,"Love the fabric and design of this clothe, very unique and comfortable. it is not lined, which explains the lower price when compared to other well fashioned clothees. i wore it successfully with stockings and no slip and it did not ride up or cling strangely. the fabric is stretchy and form fitting without feeling tight. the ribbons that define the detail around the waist were a bit snug but we're not uncomfortable. they define the waist very well. i am 5'7'',127lbs, athletic build and the 4 fit",3,General,Clothes,Clothes
21849,28,Obsessed,"I don't know how this clothe doesn't have more of a following! it's really excellent. i will say, i am tall (5'8"") and lanky. the clothe is oversized, but not overly so, drapes beautifully, and will work for any season. fabric is divine. i plan to wear this to work, for travel, on weekends, etc. love the cream/deep charcoal color. at the sale price, this really is a magnificent, versatile find.",5,General Petite,Clothes,Clothes
3643,48,"Really nice, but a few improvements needed!","I saw this coat on the sale rack at my local store but the size was extra small, and needed a medium. the store was able to order since it showed back order . i do miss the charge send option, but still love retailer! normally i wear a medium in this brand. i received my order today and it's a beautiful coat however there's a few things that could have been done in the manufacture that would've improved it. one, the coat is not lined and it would be beneficial if the coat was lined or even",4,General,Coats,Outerwear
12395,34,"Cute top, but short and boxy","Nicely made, pretty details, but it's cropped fairly short and is rather boxy. wore with orange linen trousers and it was cute!",1,General,Tops,Blouses
23343,56,Gorgeous clothe!,"I don't understand the negative reviews on this clothe. i completely love the fit, may be the prior reviewer was trying a size on that was too large? yes, the fabric and the snaps are very delicate so you have to be careful putting it on and off, but the fit is very flattering on most people. i saw three different people trying it on in the fitting room today so i decided to try it on myself and had to have it! the colors are beautiful and the uneven hem makes it more fun and young. i will wear i",11,General Petite,Clothes,Clothes
5892,38,"Beautiful clothe, comfortable","Super flattering clothe. love it. makes my waist look tiny. magnificent fit and flare style without making me look pregnant! i love the fabric. will be magnificent as a travel clothe (packs easy, doesn't need to be ironed really, substantial fabric). love it. i think it runs large since i'm rarely a 2 at retailer, but i find that maeve runs all over the place. i'm usually a 4 at retailer and i got a 2 in this.",0,General Petite,Clothes,Clothes
5243,37,Love these,"I bought two pair in one week...crazy right? i am 5'11 and 150lbs. i bought the pink color, soft faded pink, which drew me to them right away...kinda soft and romantic pink. then two days later went back (one hour drive) and bought the silver which is really a worn in green color. i feel these are true to size, i wouldn't size down because these are""t super stretchy....feels like it also won't bag out during the day. i really love these cords....and the rolled up cuff is adorable.",0,General,Bottoms,Jeans
15083,35,The circus is in town,"At first i was taken by the beautiful lacework and the pictures online showing what appeared to be a loose but shaped silhouette. the pictures must have been staged with pins in the back because, in person, the shirt fits like a circus tent. without exaggeration, there is a surplus of about 16 inches.

the material is still beautiful. and because of that, i haven't decided whether i'll return this shirt or try cutting out some excess fabric to create a cleaner, more fitted shape.",0,General,Tops,Knits
19157,48,Classic and elegant,"I purchased this online without seeing in person and was pleasantly surprised. i have purchased clothing made from netting with embroidered damask design in the past and found them to be stiff and scratchy, however, this is soft with some stretch that makes it very comfortable to wear. the fit in person is more form fitting than pictured and is quite flattering. another nice design element is while the shell appears to be see through, there is a built in strapless nude cami attached inside. over",2,General Petite,Tops,Knits
22935,47,Lovely print and fabric design,"This clothe was stunning on the hanger -- on me not so much. i am 5' 1.5"" and typically a sz 2. the smallest size at the store was a 4. i felt it was baggy about the waist and the length would have been better in petite sizing. the print is gorgeous with beading accenting different flowers. there is a tinge of green-yellow to the background fabric and the color did not look good on me. i hope to try this in a 4p.",30,General,Clothes,Clothes
3444,35,Magnificent coat,"Beautiful design and soft, warm wool. warm enough to have on outside in the fall (i live in pdx), and also stylish enough to keep on inside. buy the right size (not too big) because it's meant to fit on the waist and the skirt swings out from there!",2,General,Tops,Sweaters
21129,29,Magnificent style; runs small,"Love the pattern on this lightweight cardigan and it is super flattering. i tried ordering the xs/s first because the next size up just sounded too big, but i ultimately had to order up for more room in shoulders and length in arms, though. i'm hoping the m/l fits without too much spare fabric because it really is a magnificent piece.",4,General Petite,Tops,Knits
